row_norm,k_graph,alpha,conf_threshold,mean_macro_f1,mean_acc,mean_conf_assigned,pct_assigned
none,10,0.1,0.5,0.1498996989879126,0.2918233789679555,0.9283044979705811,0.8134672361086449
none,10,0.1,0.6,0.1498996989879126,0.2918233789679555,0.9517939767149527,0.7662817381863986
none,10,0.1,0.7,0.1498996989879126,0.2918233789679555,0.9685380820836729,0.7260195584538626
none,10,0.1,0.8,0.1498996989879126,0.2918233789679555,0.9801552156813519,0.6893795483956268
none,10,0.2,0.5,0.15076455689938437,0.28715209869113884,0.9149783187827921,0.8563961476920469
none,10,0.2,0.6,0.15076455689938437,0.28715209869113884,0.938579066299997,0.8050551096592665
none,10,0.2,0.7,0.15076455689938437,0.28715209869113884,0.9575185311533557,0.755526650013659
none,10,0.2,0.8,0.15076455689938437,0.28715209869113884,0.9723882544916235,0.7039083968156002
none,10,0.3,0.5,0.14126558570113285,0.27759784220593603,0.9015557781183046,0.8754397047137029
none,10,0.3,0.6,0.14126558570113285,0.27759784220593603,0.9276969237015694,0.8152281961035395
none,10,0.3,0.7,0.14126558570113285,0.27759784220593603,0.9494644855748783,0.7551162406094059
none,10,0.3,0.8,0.14126558570113285,0.27759784220593603,0.9674366954682757,0.6913327476241767
none,10,0.5,0.5,0.13984501951096198,0.2778358658041222,0.8781750194895088,0.872674819109429
none,10,0.5,0.6,0.13984501951096198,0.2778358658041222,0.9083119082694212,0.7991458076794443
none,10,0.5,0.7,0.13984501951096198,0.2778358658041222,0.9377847863784673,0.7155976683169906
none,10,0.5,0.8,0.13984501951096198,0.2778358658041222,0.9638492764975074,0.6285388319784584
none,10,0.7,0.5,0.139761802627125,0.27266113606567943,0.8589465082681284,0.8273398650736166
none,10,0.7,0.6,0.139761802627125,0.27266113606567943,0.8930623504000398,0.7438621690107463
none,10,0.7,0.7,0.139761802627125,0.27266113606567943,0.9295516756302632,0.647745126833143
none,10,0.7,0.8,0.139761802627125,0.27266113606567943,0.9575179538650594,0.561282184585069
none,15,0.1,0.5,0.1679635631931521,0.30201379784650434,0.8987287742983184,0.9308575849181553
none,15,0.1,0.6,0.1679635631931521,0.30201379784650434,0.9328980452076591,0.8489253958632922
none,15,0.1,0.7,0.1679635631931521,0.30201379784650434,0.9566714284817385,0.7833054906766813
none,15,0.1,0.8,0.1679635631931521,0.30201379784650434,0.9722219050699762,0.7287427237330193
none,15,0.2,0.5,0.17172327460144884,0.306737733456554,0.8828873315507387,0.9371292070800132
none,15,0.2,0.6,0.17172327460144884,0.306737733456554,0.9170757539328571,0.8508013850610002
none,15,0.2,0.7,0.17172327460144884,0.306737733456554,0.943118016405375,0.7755828014361651
none,15,0.2,0.8,0.17172327460144884,0.306737733456554,0.9624813400136635,0.7042068822100412
none,15,0.3,0.5,0.1692955609965438,0.3020401255131208,0.867499838909601,0.9353490692121698
none,15,0.3,0.6,0.1692955609965438,0.3020401255131208,0.903177654730389,0.8419194301624899
none,15,0.3,0.7,0.1692955609965438,0.3020401255131208,0.9325521875678694,0.7541129328236577
none,15,0.3,0.8,0.1692955609965438,0.3020401255131208,0.9557344126080554,0.6696796343465109
none,15,0.5,0.5,0.1700977145030593,0.30896698832985886,0.8376685381888426,0.9033539722194583
none,15,0.5,0.6,0.1700977145030593,0.30896698832985886,0.8811826406841842,0.7852120339219714
none,15,0.5,0.7,0.1700977145030593,0.30896698832985886,0.9158449787966636,0.6827652389327571
none,15,0.5,0.8,0.1700977145030593,0.30896698832985886,0.9463300181606077,0.575659852279842
none,15,0.7,0.5,0.1682718763265212,0.3043220357196587,0.8066725622555152,0.8430736016512439
none,15,0.7,0.6,0.1682718763265212,0.3043220357196587,0.8579477627690636,0.7028704579542774
none,15,0.7,0.7,0.1682718763265212,0.3043220357196587,0.9012555006968611,0.5822609350397808
none,15,0.7,0.8,0.1682718763265212,0.3043220357196587,0.937734961508748,0.4681639651240959
none,20,0.1,0.5,0.1756463205501574,0.31284199101635535,0.8709766737362165,0.9297354322090171
none,20,0.1,0.6,0.1756463205501574,0.31284199101635535,0.9173484032695628,0.8133199011136393
none,20,0.1,0.7,0.1756463205501574,0.31284199101635535,0.9467677607246577,0.7331645192237369
none,20,0.1,0.8,0.1756463205501574,0.31284199101635535,0.9663227852744423,0.6669609352962681
none,20,0.2,0.5,0.17212339667472487,0.3081707107395388,0.8539830921606001,0.9192906007644219
none,20,0.2,0.6,0.17212339667472487,0.3081707107395388,0.9009328433864551,0.7971710231207361
none,20,0.2,0.7,0.17212339667472487,0.3081707107395388,0.9311240004293522,0.7113632007450824
none,20,0.2,0.8,0.17212339667472487,0.3081707107395388,0.952664378962912,0.635571401400724
none,20,0.3,0.5,0.17649439383050622,0.31552204001805323,0.8374030069826804,0.9037847286072003
none,20,0.3,0.6,0.17649439383050622,0.31552204001805323,0.8840792814659603,0.7790100993717801
none,20,0.3,0.7,0.17649439383050622,0.31552204001805323,0.9162823849263942,0.6854197334496667
